Unnamed: 0,title,description,cat2_slug,cat3_slug,city_slug,city_category,building_size,land_size,rooms_count,construction_year,floor,total_floors_count,building_direction,floor_material,deed_type,building_age,user_type,price_value,credit_value,rent_value,has_elevator,has_parking,has_storage,has_balcony,has_security,has_pool,has_sauna,has_jacuzzi,has_gym,has_lobby,has_video_intercom,has_remote_door,has_central_vacuum,has_barbecue,is_rebuilt,has_business_deed,location_latitude,location_longitude,location_radius,created_at,created_at_month,price_mode,credit_mode,rent_mode,rent_to_single,rent_type,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,has_water,has_electricity,has_gas,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,property_type,has_roof_garden,has_guard,has_master_room,neighborhood_slug
0,Property listing 0,A nice property with 3 bedrooms,land-sell,office,isfahan,capital,88.0,310.0,2_rooms,1399,1,10.0,north-east,ceramic,cooperative,10-20,agency,5051959479.492082,,21114736.24606947,false,true,false,unselect,true,false,unselect,true,unselect,true,unselect,false,true,unselect,False,,33.05586694694237,51.81833402230084,200,2023-01-01 00:00:00,Mehr,agreeable,fixed,,,daily,True,False,,315785383.43987894,,6116.351555870425,,True,,,2,200000,500000,800000,,apartment,true,unselect,false,neighborhood_3
1,Property listing 1,A nice property with 4 bedrooms,land-sell,shop,mashhad,capital,355.0,564.0,4_rooms,1395,6,7.0,north-west,parquet,official,new,personal,4626972049.116759,,,unselect,unselect,false,false,false,true,unselect,true,true,false,unselect,true,true,false,,True,33.12390893551805,51.969643146861486,200,2023-01-01 04:00:00,Mehr,fixed,,,False,,False,,True,779842581.0193168,,8653756.121021096,,False,False,8,2,200000,1000000,,600000,,false,false,false,neighborhood_1
2,Property listing 2,A nice property with 1 bedrooms,apartment-sell,residential,mashhad,major,169.0,498.0,1_room,1399,12,15.0,east,parquet,cooperative,5-10,personal,,4938482464.643281,20898024.49542878,false,unselect,unselect,false,false,true,false,true,true,unselect,unselect,false,unselect,false,True,True,33.65181158440138,50.745477555264685,1000,2023-01-01 08:00:00,Farvardin,fixed,fixed,fixed,False,daily,False,,,670857703.3306954,,8224243.8457980845,,True,True,,,,1000000,800000,1200000,,unselect,true,unselect,neighborhood_2
3,Property listing 3,A nice property with 3 bedrooms,apartment-rent,office,shiraz,minor,483.0,153.0,3_rooms,1396,-1,15.0,north-west,mosaic,official,1-5,agency,43750826521.444275,,41484651.41298579,false,true,true,false,true,unselect,false,false,unselect,false,false,true,unselect,false,True,False,32.5577533085999,52.64358021575571,1000,2023-01-01 12:00:00,Aban,fixed,,agreeable,False,daily,False,True,True,731739973.5856051,,1231918.880428302,True,,True,2,,200000,500000,1500000,,apartment,unselect,true,false,neighborhood_2
4,Property listing 4,A nice property with 3 bedrooms,house-sell,residential,shiraz,major,44.0,532.0,1_room,1396,12,4.0,north-west,mosaic,endowment,1-5,personal,,9843376568.352272,12153994.255150225,true,true,true,unselect,false,false,true,false,true,false,unselect,false,true,false,True,False,34.029091377692964,52.20496527249047,100,2023-01-01 16:00:00,Mehr,,fixed,fixed,False,monthly,False,,True,811810769.4391947,False,3741051.349563065,,True,,2,2,200000,500000,1500000,,,false,true,true,neighborhood_3
5,Property listing 5,A nice property with 4 bedrooms,apartment-sell,shop,tabriz,major,467.0,273.0,3_rooms,1398,0,6.0,north-east,laminate,official,1-5,personal,36027840451.109566,,26697380.947029717,unselect,unselect,false,unselect,false,true,unselect,unselect,unselect,unselect,unselect,false,unselect,true,False,,34.660127046808526,50.826691751156304,1000,2023-01-01 20:00:00,Farvardin,fixed,,,,daily,False,False,True,783235718.8779622,False,6613393.083885825,True,True,True,8,2,,500000,,,land,unselect,true,false,neighborhood_4
6,Property listing 6,A nice property with 1 bedrooms,house-sell,commercial,tabriz,capital,66.0,540.0,2_rooms,1399,2,5.0,north-west,stone,endowment,10-20,agency,,1530759857.0294993,,true,false,false,true,unselect,true,false,unselect,true,true,false,unselect,false,unselect,False,True,35.14400196830947,51.361326033756825,100,2023-01-02 00:00:00,Aban,fixed,,agreeable,,daily,,False,False,682183166.152778,False,6521108.572187282,False,True,,8,,,1000000,,,land,false,unselect,false,neighborhood_4
7,Property listing 7,A nice property with 1 bedrooms,house-sell,office,isfahan,major,199.0,522.0,2_rooms,1401,17,12.0,north-east,mosaic,endowment,1-5,personal,31194578902.016487,6670421465.410603,,unselect,unselect,unselect,unselect,false,true,unselect,true,unselect,false,true,true,false,true,False,,34.84581696745692,52.38751714934469,100,2023-01-02 04:00:00,Ordibehesht,agreeable,agreeable,fixed,,daily,,False,True,439661532.37059057,False,8603503.348085565,,False,False,4,,100000,500000,800000,600000,land,unselect,unselect,true,neighborhood_2
8,Property listing 8,A nice property with 3 bedrooms,apartment-rent,residential,isfahan,major,188.0,59.0,2_rooms,1398,4,1.0,east,parquet,cooperative,20+,agency,,2850040008.0636387,,true,unselect,false,unselect,true,true,unselect,unselect,unselect,unselect,true,false,false,false,False,True,32.590543856321055,53.69948902173364,100,2023-01-02 08:00:00,Aban,fixed,fixed,agreeable,True,,,True,False,983598328.8781539,True,1402681.6163542855,False,False,,2,,100000,500000,,,,unselect,false,true,neighborhood_3
9,Property listing 9,A nice property with 2 bedrooms,house-sell,residential,tehran,capital,303.0,454.0,5plus_rooms,1401,-1,8.0,north-east,mosaic,official,new,personal,39466806751.996765,5861924926.601166,,true,true,false,false,unselect,unselect,false,unselect,unselect,true,true,false,unselect,true,,,33.82426857988369,53.68150540128597,1000,2023-01-02 12:00:00,Khordad,,,agreeable,False,,,True,True,569073195.5900737,,4299397.477851188,True,,True,8,3,200000,,1500000,,,true,true,false,neighborhood_3
10,Property listing 10,A nice property with 3 bedrooms,house-sell,office,tabriz,major,269.0,351.0,2_rooms,1398,15,1.0,north,ceramic,cooperative,10-20,agency,11761153396.385643,,6354692.823039836,unselect,unselect,unselect,false,true,unselect,unselect,true,true,unselect,false,true,true,false,True,False,32.15434480323271,51.151623617589934,1000,2023-01-02 16:00:00,Dey,fixed,agreeable,,,monthly,False,,True,202769209.36883914,True,972244.1792642478,True,False,,2,1,200000,1000000,,600000,villa,unselect,false,unselect,neighborhood_3
11,Property listing 11,A nice property with 3 bedrooms,apartment-rent,commercial,mashhad,capital,239.0,280.0,0_rooms,1396,6,5.0,north-east,stone,official,1-5,agency,,,39924827.029549964,unselect,false,unselect,false,false,unselect,false,false,unselect,unselect,unselect,false,true,unselect,,,32.0711919868838,52.94248391103954,100,2023-01-02 20:00:00,Mehr,,fixed,fixed,,monthly,,False,,292812855.10478437,True,3895952.4843862816,True,True,,4,1,,1000000,,1200000,apartment,false,false,unselect,neighborhood_4
12,Property listing 12,A nice property with 3 bedrooms,house-sell,commercial,tabriz,capital,89.0,115.0,0_rooms,1398,17,6.0,east,laminate,endowment,new,personal,,,5849462.547026634,true,true,false,false,unselect,unselect,false,unselect,unselect,unselect,unselect,unselect,true,false,False,False,33.760521673095205,53.102076322095236,500,2023-01-03 00:00:00,Shahrivar,agreeable,agreeable,,,,,False,True,693562455.97047,False,151074.45587704383,,False,False,6,2,100000,500000,1500000,1200000,,false,false,false,neighborhood_2
13,Property listing 13,A nice property with 3 bedrooms,house-sell,commercial,mashhad,capital,106.0,161.0,5plus_rooms,1396,19,3.0,west,ceramic,endowment,5-10,personal,,2657020944.9388757,14297688.358899646,unselect,unselect,true,false,unselect,false,true,false,false,true,unselect,true,unselect,true,False,True,33.011841977830514,53.23529239993118,1000,2023-01-03 04:00:00,Mordad,agreeable,,fixed,False,daily,True,True,False,924739565.1994635,True,8982730.651101269,,False,True,2,3,100000,500000,800000,600000,villa,true,false,false,neighborhood_3
14,Property listing 14,A nice property with 4 bedrooms,house-sell,shop,shiraz,capital,339.0,62.0,4_rooms,1402,-1,15.0,north-west,ceramic,official,1-5,agency,43696533924.58137,4491839590.261165,,true,unselect,false,true,unselect,true,true,true,false,false,unselect,unselect,unselect,unselect,,True,34.73344317949345,52.28304913900592,200,2023-01-03 08:00:00,Bahman,fixed,agreeable,fixed,False,monthly,False,True,,178720129.20589754,False,5270439.96828681,False,True,,4,,,,800000,1200000,apartment,false,false,false,neighborhood_2
15,Property listing 15,A nice property with 1 bedrooms,apartment-sell,residential,tabriz,major,420.0,442.0,1_room,1395,3,5.0,north-east,stone,official,new,agency,6427409776.425326,,,unselect,false,true,true,unselect,unselect,true,true,unselect,false,false,true,false,false,True,False,34.89696314725365,50.04203199239835,500,2023-01-03 12:00:00,Dey,agreeable,agreeable,fixed,False,monthly,,True,,82346495.74578634,,8498022.608023537,True,,False,4,,,500000,,1200000,apartment,unselect,unselect,false,neighborhood_2
16,Property listing 16,A nice property with 4 bedrooms,apartment-sell,residential,shiraz,capital,97.0,549.0,3_rooms,1401,14,14.0,north-west,laminate,cooperative,20+,agency,43343124860.91563,6639610960.465323,,true,unselect,true,true,true,true,true,unselect,false,unselect,unselect,true,unselect,false,True,True,35.58161489823302,53.046705141785,200,2023-01-03 16:00:00,Bahman,fixed,fixed,agreeable,,daily,,False,True,881531048.0420061,False,599047.0100336376,False,False,False,4,2,,1000000,1500000,600000,land,true,unselect,unselect,neighborhood_1
17,Property listing 17,A nice property with 4 bedrooms,apartment-sell,residential,isfahan,capital,298.0,283.0,3_rooms,1399,4,18.0,south,parquet,official,5-10,personal,,,,true,unselect,true,false,false,false,unselect,true,unselect,unselect,true,true,false,unselect,False,,35.04273005415615,50.4263897993174,1000,2023-01-03 20:00:00,Ordibehesht,agreeable,,agreeable,False,daily,,False,True,915277978.9128344,,2274581.1047292063,True,,False,,2,,,1500000,,land,false,false,false,neighborhood_4
18,Property listing 18,A nice property with 4 bedrooms,apartment-rent,shop,isfahan,major,381.0,363.0,5plus_rooms,1402,6,16.0,north,laminate,official,20+,personal,6442813494.264496,3954124755.9537783,,true,unselect,unselect,false,false,true,unselect,true,false,true,false,false,false,true,False,False,32.192976492546165,50.467485544881605,500,2023-01-04 00:00:00,Ordibehesht,,fixed,,,daily,False,,,276379345.3158995,False,2593799.952211806,True,True,False,8,3,100000,1000000,1500000,600000,villa,unselect,unselect,true,neighborhood_2
19,Property listing 19,A nice property with 3 bedrooms,land-sell,residential,tehran,major,365.0,61.0,0_rooms,1402,11,6.0,north,mosaic,official,new,personal,21434338582.44963,6464008971.524994,3007932.890244632,false,unselect,unselect,false,unselect,true,true,true,true,unselect,false,true,true,unselect,False,True,33.48649204143107,52.42249921058461,1000,2023-01-04 04:00:00,Esfand,agreeable,fixed,fixed,True,daily,,False,False,377285724.37123984,True,3866914.9463878805,False,False,False,2,1,,500000,800000,600000,villa,true,unselect,unselect,neighborhood_1
20,Property listing 20,A nice property with 2 bedrooms,house-sell,shop,tabriz,minor,169.0,258.0,3_rooms,1398,14,14.0,south,ceramic,cooperative,20+,personal,8126928644.906384,,35548100.926063575,unselect,false,unselect,true,false,unselect,false,unselect,true,unselect,true,true,unselect,true,False,,33.09209340700849,53.934082084101206,1000,2023-01-04 08:00:00,Farvardin,fixed,agreeable,fixed,False,daily,True,,True,660187997.4978584,True,8028663.723975461,True,,,,1,,,1500000,600000,land,unselect,false,unselect,neighborhood_4
21,Property listing 21,A nice property with 1 bedrooms,house-sell,commercial,shiraz,major,254.0,63.0,0_rooms,1396,1,8.0,south,mosaic,official,new,agency,35047359654.44182,,,true,unselect,false,false,true,unselect,false,unselect,unselect,unselect,true,true,true,false,True,,33.54452979930865,50.9701578930632,500,2023-01-04 12:00:00,Azar,fixed,,agreeable,False,,False,,,329930020.8424748,False,3865578.7373149265,False,,,2,,100000,1000000,1500000,600000,land,false,unselect,true,neighborhood_3
22,Property listing 22,A nice property with 2 bedrooms,apartment-rent,office,mashhad,major,211.0,467.0,4_rooms,1397,17,7.0,north-east,parquet,endowment,new,agency,,,,false,unselect,unselect,true,false,false,false,unselect,unselect,false,unselect,unselect,true,false,,True,32.640302635874804,52.58324352020483,1000,2023-01-04 16:00:00,Bahman,fixed,fixed,fixed,,daily,True,False,False,877158708.2700529,,2046535.29646327,,True,True,,2,,1000000,800000,600000,apartment,false,unselect,false,neighborhood_3
23,Property listing 23,A nice property with 4 bedrooms,house-sell,residential,isfahan,minor,297.0,486.0,1_room,1401,10,8.0,south,mosaic,cooperative,20+,agency,,7297919005.54462,35668618.129924096,true,unselect,unselect,false,true,true,false,true,true,unselect,true,true,unselect,unselect,True,True,32.39081641476238,51.214614582950404,500,2023-01-04 20:00:00,Aban,,,,False,monthly,False,,True,107578702.71386272,,649902.6033876842,False,False,,8,3,100000,1000000,1500000,,apartment,false,true,false,neighborhood_1
